NODES:
0	0.08718729225751233	3.0066074431070167
1	9.642477643757601	3.534255351141163
2	9.777540476523352	5.485554477576202
3	6.697182551375777	0.6438223793751076
4	4.739579485796892	6.325376826023698
5	5.365579698059323	8.914531554586906
6	6.069028755648731	3.100962002682418
7	4.707689463571606	5.464140118942323
8	8.481303165446965	1.0356829096900577
9	1.7046420927071848	6.489447170177448
10	3.2360709495993145	4.35536150504119
11	6.78766382786013	5.944330520660187
12	4.601205316545816	2.7946105608745473
13	6.788721132940335	7.524825923774846
14	0.30156254715114517	3.2228428343241378
15	4.702965144885107	6.839441997259625
16	7.693463323140199	9.342436236151917
17	8.659024809028878	2.827070999052279
18	8.034227785946616	8.482645911357679
19	2.2318659046312392	3.673627459721751
20	9.594925321512415	9.431981466167583
21	7.920122429108955	2.6742975805572025
22	7.481645120252869	2.509737760034463
23	5.015378913575859	3.5625957245342788
24	4.071250558348756	2.9956082994106357
25	5.009244094201957	1.358921538561264
26	1.3038461872401863	3.8377065329750524
27	4.182734989101979	5.699234185291422
28	9.769429639503159	9.22842711007555
29	6.435053875954022	8.973295985869573
30	7.9346735265766	9.75777918804117
31	3.7555238906265345	4.406646887498283
32	3.3835915181888456	3.624797435763499
33	4.7912844365706855	2.7264324256333214
34	5.059792441853309	9.499934873580296
35	4.400945379429704	5.177224290678001
36	4.54798511603102	6.9914409504271795
37	5.978045832653031	0.6786715312862734
38	6.947552547055684	2.841363059386617
39	7.437254803429011	7.734803325415257
40	6.867930020574019	9.005895420723576
41	5.190635339322638	2.730766298931383
42	0.9754411597835833	3.5937120198159676
43	8.608262812145446	9.283444759805018
44	3.2064841760503358	6.871488651676579
45	5.758853045215143	1.6024775981265582
46	9.04616306705403	6.7620105548887715
47	8.5056398152121	2.197810052121266
48	3.0902091046219327	4.926314472996427
49	4.063448223753551	5.697736467021905
50	2.8228672303985336	6.2475703009289845
51	9.360714087134506	4.766224368661103
52	5.608995368011211	5.594681535541878
53	1.9324590148785337	6.6738577439502
54	3.166843419179833	8.570600634471386
55	7.335886093552867	0.8314022466411519
56	8.67030289392199	6.527251817255291
57	5.150097066252264	5.447993604568707
58	3.5166490835595	9.595469978380844
59	4.9624191810781335	1.9479358898937693
60	0.042700013754262134	2.900794658242729
61	2.64604069774798	6.909843947435616
62	9.857090958218226	6.645288442479201
EDGES:
7	4
13	11
15	4
17	1
18	16
19	10
21	17
22	17
23	6
24	12
24	23
26	14
26	19
27	15
29	5
30	16
31	10
32	10
32	19
32	24
32	31
33	23
33	24
34	5
35	4
35	7
35	27
35	31
36	15
37	3
37	25
38	6
38	21
38	22
39	13
39	18
40	16
40	29
41	6
41	33
42	0
42	26
43	16
43	18
43	20
43	28
43	30
44	36
45	37
47	8
47	17
47	22
48	10
49	27
49	35
49	48
50	9
50	44
51	1
51	2
52	4
52	11
55	3
55	8
57	4
57	35
57	52
58	34
58	54
59	12
59	25
59	33
59	41
59	45
60	42
61	9
61	44
61	53
62	2
62	46
62	56
